sum_manual,sum_model,model_equal_manual,model_diff_manual,path
15,4,169,11,MC_001_FR1_20190130_190637
61,6,123,57,MC_001_FR2_20190131_152351
69,53,164,16,MC_003_FR1_20190322_201950
80,52,152,28,MC_003_FR2_20190323_200816
75,36,141,39,MC_004_FR1_20190330_172124
86,41,135,45,MC_004_FR2_20190331_181731
51,18,147,33,MC_005_FR1_20190413_185203
51,5,134,46,MC_005_FR2_20190414_204844
73,25,132,48,MC_005_FR3_20190416_204113
73,10,117,63,MC_005_FR4_20190420_201557
27,13,166,14,MC_006_FR1_20190428_200159
19,6,167,13,MC_007_FR1_20190510_203529
43,27,164,16,MC_009_FR1_20190605_223914
60,41,159,21,MC_009_FR2_20190606_221809
13,2,133,11,MC_010_FR1_20190625_182441
14,2,168,12,MC_011_FR1_20190829_205443
23,9,166,14,MC_011_FR2_20190830_193219
37,1,144,36,MC_012_FR1_20190911_222622
34,0,146,34,MC_012_FR2_20190912_202614
50,0,130,50,MC_012_FR3_20190914_204903
41,1,140,40,MC_012_FR4_20190917_211748
27,0,153,27,MC_016_FR1_20200220_231721
40,3,143,37,MC_017_FR1_20200302_203539
26,4,158,22,MC_017_FR2_20200303_201615
55,0,125,55,MC_018_FR1_20200614_225044
65,2,117,63,MC_019_FR1_20200701_214443
36,0,144,36,MC_020_FR1_20200810_221820
50,0,130,50,MC_020_FR2_20200811_221558
40,0,140,40,MC_020_FR3_20200813_221018
46,0,134,46,MC_022_FR1_20201009_211727
44,8,144,36,MC_023_FR1_20201019_210721
44,10,146,34,MC_023_FR2_20201020_210200
50,8,138,42,MC_023_FR3_20201022_205452
67,1,114,66,MC_024_FR1_20201124_220315
61,6,125,55,MC_024_FR2_20201125_225401
62,18,136,44,MC_025_FR1_20210312_220107
74,31,137,43,MC_025_FR2_20210313_215823
31,9,61,24,MC_025_FR3_20210315_224443
29,0,104,29,MC_026_FR1_20210415_214212
54,7,133,47,MC_027_FR1_20210422_214146
57,2,125,55,MC_027_FR2_20210423_214123
30,0,150,30,MC_028_FR1_20210514_213002
27,3,156,24,MC_029_FR1_20210622_224438
54,5,131,49,MC_030_FR1_20210805_205952
60,10,130,50,MC_030_FR2_20210806_212619
